Timestamp,Email address,Full Name,Class,College Number,Mobile Number,(AM) Slot Selection,(PM) Slot Selection,My Ambition
08/07/2023 22:24:08,101,Fauziah Mohd,505,101,101,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,DENTIST
08/07/2023 22:24:08,102,Razali Ismail,503,102,102,Computer Science/IT,Engineering,COMPUTER ENGINEER
08/07/2023 22:24:08,103,Norfarah,511,103,103,Architecture/Interior Design/Arts & Design,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,INTERIOR DESIGNER
08/07/2023 22:24:09,104,Mohd Rizwan,510,104,104,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,FORENSIC DOCTORS
08/07/2023 22:24:09,105,Nurul Syafiqah,511,105,105,Engineering,Business/Enterpreneurship/Accounting/Banking/Finance,MECHANICAL ENGINEER
08/07/2023 22:24:09,106,Abdul Rahman,506,106,106,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:24:09,107,Norazlina,504,107,107,Engineering,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,ENGINEER IN THE FIELD OF GREEN TECHNOLOGY
08/07/2023 22:24:11,108,Zulkifli Ahmad,501,108,108,Business/Enterpreneurship/Accounting/Banking/Finance,Others/Undecided,AN ACCOUNTANT 
08/07/2023 22:24:11,109,Nurul Azira,506,109,109,Others/Undecided,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,UNDECIDED
08/07/2023 22:24:13,110,Azman Yusof,506,110,110,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,ACTUARIST
08/07/2023 22:24:13,111,Siti Norhayati,511,111,111,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,ARCHITECT
08/07/2023 22:24:14,112,Mohd Firdaus,507,112,112,Architecture/Interior Design/Arts & Design,Engineering,ARCHITECTURE
08/07/2023 22:24:14,113,Norazura,502,113,113,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,COMPUTER SCIENCE RELATED
08/07/2023 22:24:14,114,Ismail Ali,510,114,114,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,DOCTOR
08/07/2023 22:24:15,115,Nurul Hidayah,509,115,115,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,DENTIST
08/07/2023 22:24:15,116,Hafizul Rahman,510,116,116,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Entertainment/Film/Music/Modeling/Multimedia,VETERINARIAN
08/07/2023 22:24:15,117,Norhafiza,505,117,117,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,ANESTHESIOLOGIST 
08/07/2023 22:24:16,118,Muhammad Zain,503,118,118,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,CARDIOTHORARIC SURGEON
08/07/2023 22:24:16,119,Fazilah Abdullah,504,119,119,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,DOCTOR
08/07/2023 22:24:17,120,Khairul Anuar,509,120,120,Engineering,Architecture/Interior Design/Arts & Design,ENGINEER
08/07/2023 22:24:18,121,Norhayati Mohd,510,121,121,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,PHARMACIST
08/07/2023 22:24:20,122,Mohd Azri,510,122,122,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,ANAESTHETIST 
08/07/2023 22:24:21,123,Siti Norazlina,509,123,123,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,PHARMACIST
08/07/2023 22:24:24,124,Razman Mohd,505,124,124,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,LAWYER
08/07/2023 22:24:24,125,Norazizah,503,125,125,Entertainment/Film/Music/Modeling/Multimedia,Engineering,ENGINEER
08/07/2023 22:24:24,126,Mohd Rizal,506,126,126,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DENTIST
08/07/2023 22:24:26,127,Nurul Ain,507,127,127,Engineering,Others/Undecided,OIL & GAS ENGINEER
08/07/2023 22:24:27,128,Azhar Ahmad,506,128,128,Engineering,Lawyer/Legal,ENGINEER
08/07/2023 22:24:28,129,Noraini Mohd,505,129,129,Lawyer/Legal,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,LAWYER
08/07/2023 22:24:29,130,Faisal Ismail,508,130,130,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Computer Science/IT,SURGEON
08/07/2023 22:24:29,131,Norazlin,509,131,131,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,AEROSPACE ENGINEERING
08/07/2023 22:24:30,132,Mohd Azlan,504,132,132,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,SURGEON
08/07/2023 22:24:31,133,Siti Norfazilah,503,133,133,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,LECTURER / DENTIST
08/07/2023 22:24:31,134,Amirul Hakim,507,134,134,Others/Undecided,Architecture/Interior Design/Arts & Design,FASHION STYLIST 
08/07/2023 22:24:32,135,Norazimah,502,135,135,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,FORENSIC CHEMISTRY
08/07/2023 22:24:33,136,Iskandar Ibrahim,506,136,136,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,DOCTOR SURGEON 
08/07/2023 22:24:34,137,Norzila,502,137,137,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,SURGEON
08/07/2023 22:24:35,138,Haziqah Mohd,509,138,138,Others/Undecided,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,FORENSIC PSYCHOLOGIST
08/07/2023 22:24:35,139,Nurul Izzah,510,139,139,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR SURGEON
08/07/2023 22:24:35,140,Mohd Azmi,505,140,140,Others/Undecided,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,UNDECIDED 
08/07/2023 22:24:36,141,Farah Hani,511,141,141,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,DOCTOR 
08/07/2023 22:24:36,142,Khairul Azmi,501,142,142,Business/Enterpreneurship/Accounting/Banking/Finance,Others/Undecided,ACCOUNTANT
08/07/2023 22:24:37,143,Nor Azura,507,143,143,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,PAEDIATRICIAN DOCTOR
08/07/2023 22:24:37,144,Zainal Abidin,506,144,144,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,PHARMACIST
08/07/2023 22:24:38,145,Siti Norhayati,509,145,145,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,SURGEON/SCIENTIST
08/07/2023 22:24:38,146,Azman Hassan,507,146,146,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Entertainment/Film/Music/Modeling/Multimedia,BIOLOGY LECTURER / MUSIC EXPERT
08/07/2023 22:24:40,147,Noraini Abd,504,147,147,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,DERMATOLOGIST 
08/07/2023 22:24:40,148,Ahmad Syafiq,508,148,148,Lawyer/Legal,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,LAWYER
08/07/2023 22:24:41,149,Norazah,504,149,149,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,DENTIST
08/07/2023 22:24:42,150,Mohd Zainuddin,509,150,150,Architecture/Interior Design/Arts & Design,Engineering,ARCHITECT
08/07/2023 22:24:42,151,Fauziah Mohd,508,151,151,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,MEDICAL DOCTOR
08/07/2023 22:24:43,152,Razali Ismail,511,152,152,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,UNDECIDED
08/07/2023 22:24:46,153,Norfarah,505,153,153,Business/Enterpreneurship/Accounting/Banking/Finance,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,NEUROLOGIST
08/07/2023 22:24:50,154,Mohd Rizwan,501,154,154,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,UNDECIDED
08/07/2023 22:24:50,155,Nurul Syafiqah,502,155,155,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:24:51,156,Abdul Rahman,511,156,156,Computer Science/IT,Entertainment/Film/Music/Modeling/Multimedia,CYBERSECURITY 
08/07/2023 22:24:51,157,Norazlina,510,157,157,Others/Undecided,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,DONT KNOW YET
08/07/2023 22:24:52,158,Zulkifli Ahmad,509,158,158,Lawyer/Legal,Entertainment/Film/Music/Modeling/Multimedia,LAWYER
08/07/2023 22:24:53,159,Nurul Azira,509,159,159,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,DENTIST
08/07/2023 22:24:53,160,Azman Yusof,504,160,160,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,AUTOMOBILE ENGINEER
08/07/2023 22:24:54,161,Siti Norhayati,508,161,161,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,CHEMICAL ENGINEER MANAGEMENT
